fertilizer_level,light,soil_moisture_percent,air_temperature_celsius
2.34,0.1,21.64,21.41
2.34,0.1,22.12,22.49
2.34,0.1,22.12,23.33
2.34,0.1,21.88,23
2.34,0.1,21.88,22.58
2.34,0.1,21.89,22.21
2.34,0.1,21.77,21.93
2.34,0.1,21.89,21.69
2.34,0.1,22.01,21.5
2.34,0.1,21.88,21.31
2.34,0.1,22.12,21.12
2.34,0.1,21.76,20.93
2.34,0.1,21.76,20.74
2.34,0.1,21.88,20.59
2.34,0.1,21.88,20.4
2.34,0.1,21.88,20.21
2.34,0.1,21.51,20.11
2.34,0.1,21.87,19.96
2.34,0.1,21.99,19.82
2.34,0.1,22.11,19.67
2.34,0.1,21.99,19.57
2.34,0.1,21.62,19.48
2.34,0.1,21.5,19.38
2.34,0.1,21.86,19.28
2.34,0.1,21.86,19.23
2.34,0.1,21.98,19.08
2.34,0.1,21.49,19.03
2.34,0.1,21.61,18.93
2.34,0.1,21.73,18.83
2.34,0.1,21.61,18.78
2.34,0.1,21.85,18.74
2.34,0.1,21.73,18.64
2.34,0.1,21.72,18.54
2.34,0.1,22.08,18.49
2.34,0.1,21.72,18.44
2.34,0.1,21.36,18.34
2.34,0.1,21.84,18.29
2.34,0.1,21.72,18.19
2.34,0.1,21.59,18.13
2.34,0.1,21.59,18.03
2.34,0.1,21.83,18.03
2.34,0.1,21.71,19.23
2.34,0.1,21.59,20.88
2.34,0.1,21.72,21.12
2.34,0.1,21.48,20.88
2.34,0.1,21.96,20.55
2.34,0.1,21.72,20.4
2.34,0.1,21.72,20.21
2.34,0.1,21.36,20.01
2.34,0.1,21.36,19.82
2.34,0.1,21.48,19.62
2.34,0.1,21.48,19.48
2.34,0.1,21.72,19.38
2.34,0.1,21.48,19.28
2.34,0.1,21.72,19.18
2.34,0.1,21.84,19.08
2.34,0.1,21.6,18.98
2.34,0.1,21.84,18.88
2.34,0.1,21.35,18.83
2.34,0.1,21.95,18.74
2.34,0.1,21.71,18.69
2.34,0.1,21.59,18.74
2.34,0.1,21.47,18.78
2.34,0.1,21.35,18.78
2.34,0.1,21.59,18.83
2.34,0.1,21.47,18.83
2.34,0.1,21.59,18.88
2.34,0.1,21.47,18.83
2.34,0.1,21.83,18.78
2.34,0.1,21.59,18.69
2.34,0.1,21.34,18.64
2.34,0.1,21.58,18.54
2.34,0.1,21.34,18.44
2.34,0.1,21.58,18.39
2.34,0.1,21.58,18.29
2.34,0.1,21.46,18.24
2.34,0.1,21.7,18.13
2.34,0.1,21.09,18.08
2.34,0.1,21.33,17.98
2.34,0.1,21.58,17.88
